,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
336,1750.0,RE/MAX Totaal Makelaars,3039SE,3,92
337,1100.0,123Wonen Rotterdam,3038PK,3,80
338,1350.0,HouseHunting Rotterdam,3064AV,4,85
339,850.0,At Home Vastgoed Beheer BV,3077BN,1,30
340,1145.0,At Home Vastgoed Beheer BV,3039DL,2,62
341,795.0,Rent2You,3036ND,2,40
342,1250.0,Riva Rentals,3012GR,2,45
343,440.0,Max Suites,3083VG,1,13
344,875.0,Riva Rentals,3081JJ,2,55
345,1350.0,Riva Rentals,3052TH,4,63
346,1300.0,My Home Vastgoed & Interieur,3075AL,4,114
347,420.0,My Home Vastgoed & Interieur,3081HB,1,16
348,600.0,Vlogmakelaars,3061WG,1,29
349,995.0,BenHousing,3054GA,2,55
350,1400.0,Heimstaden,3082JN,5,87
351,1500.0,Heimstaden,3082JN,3,105
352,920.0,Rental Rotterdam,3021AA,2,45
353,1425.0,Rent an Apartment,3038CD,4,91
354,615.0,Rent an Apartment,3073DS,2,20
355,1250.0,Perfectrent,3012LB,2,55
356,1300.0,Perfectrent,3061TK,3,54
357,1050.0,Riva Rentals,3077WH,3,64
358,1395.0,Rotterdam Apartments,3039DG,2,74
359,1575.0,Rotterdam Apartments,3024AK,4,80
360,1299.0,Rotterdam Apartments,3051ND,3,75
361,1125.0,NederWoon verhuurmakelaars Nijmegen,3016BE,2,57
362,1050.0,Nationaal Grondbezit,3083ZL,3,60
363,750.0,Max Suites,3073HG,1,29
364,750.0,Max Suites,3073HG,1,31
365,675.0,Max Suites,3073HG,1,31
366,1250.0,At Home Vastgoed Beheer BV,3072ZD,3,72
367,1545.0,Ooms Makelaars Woningen,3016BE,3,88
368,1400.0,Ooms Makelaars Woningen,3071AC,3,95
369,1595.0,Fransen Vastgoed,3063CC,3,90
370,1495.0,Linda Housing,3011GS,2,65
371,1450.0,Max Property Rentals,3071KS,3,93
372,945.0,Max Property Rentals,3083MH,4,123
373,795.0,Max Property Rentals,3083CA,2,60
374,995.0,Dutch Brickx Real Estate Den Haag e.o.,3028EH,2,51
375,1295.0,Voorberg Makelaars,3036DJ,4,80
376,895.0,Riva Rentals,3083DV,3,54
377,575.0,Verhuurmakelaar Hsiang,3061WG,1,17
378,1339.0,Woonstad Rotterdam,3061GM,3,79
379,1095.0,Rotterdam Apartments,3061TA,2,55
380,995.0,EasyMakelaars,3042BC,2,35
381,1495.0,Kolpa Makelaars B.V.,3011ZX,3,91
382,1595.0,Kolpa Makelaars B.V.,3039HH,4,110
