,house_price_amsterdam,rental_agency_amsterdam,postcode_amsterdam,bedrooms_amsterdam,surface_amsterdam
349,1800.0,JLG Real Estate,1012EN,3,72
350,2250.0,Interhouse verhuurmakelaars Amsterdam,1016AA,3,87
351,2250.0,Interhouse verhuurmakelaars Amsterdam,1017SL,4,120
352,1350.0,Hevesta Bemiddeling,1055MR,1,37
353,1250.0,Hevesta Bemiddeling,1055MR,1,35
354,1500.0,Interhouse verhuurmakelaars Amsterdam,1074CJ,2,51
355,1850.0,Parker & Williams Real Estate Services,1073XE,3,70
356,2250.0,Parker & Williams Real Estate Services,1077VP,4,120
357,2400.0,Amstelland Makelaars,1081JE,5,120
358,1850.0,Expathousing.com (Amsterdam) ,1066KC,5,141
359,1900.0,Haagen & Partners,1078MK,3,80
360,2400.0,Grand Relocation,1082MK,3,80
361,1400.0,The Real Estate Agency,1104EA,2,70
362,1750.0,Oei Housing Amsterdam - Expat Apartments,1071AC,2,75
363,1750.0,Match&Rent,1012LB,3,110
364,1750.0,Inxxx Rentals,1012SP,3,75
365,1650.0,Hoen Vastgoedbeheer ,1013DV,3,51
366,1400.0,Klok Real Estate,1054HP,2,55
367,2100.0,The Perfect House,1017AL,2,65
368,1400.0,The Perfect House,1017AL,2,40
369,850.0,Expats. Amsterdam Rentals ,1087GT,3,90
370,1500.0,First Class Housing,1017SN,2,50
371,1750.0,First Class Housing,1083BX,3,94
372,1495.0,A Plus Apartments,1056TT,2,54
373,3750.0,De la Haye Makelaardij o.g.,1015RK,3,220
374,1350.0,Expats. Amsterdam Rentals ,1086ZM,2,50
375,1795.0,Koops Makelaardij Amsterdam,1012CR,2,80
376,4000.0,Relocation Advisers B.V.,1071SX,5,119
377,750.0,2ndhome4u,1067MX,1,24
378,2450.0,Homecrew,1016PM,4,110
379,1750.0,Listings,1054VT,2,50
380,1375.0,Find your room,1011RL,2,58
381,1875.0,Rosmuller Makelaars,1019GD,3,110
382,1750.0,Prinsen Residence International,1016HR,2,50
383,1950.0,Peter Bruin Makelaardij,1053KE,3,71
384,2750.0,Out Amsterdam,1078JP,4,129
385,1250.0,Hevesta Bemiddeling,1055MR,1,35
386,2250.0,ADDRESS AMSTERDAM,1058GB,3,91
387,1385.0,IdealEstate Rental Consultancy,1024BN,3,66
388,1425.0,Listings,1012XM,2,46
389,1550.0,I AM REAL ESTATE,1087KN,3,80
390,1650.0,House of Rentals,1079SR,2,55
391,1495.0,Wooove B.V.,1079PE,2,73
392,1600.0,MA Residences,1058XT,3,55
393,2850.0,Vastgoed Unie Makelaardij ,1073TG,6,135
394,1850.0,Engel en Volkers Amsterdam Centrum,1074XZ,3,64
395,4000.0,Engel en Volkers Amsterdam Centrum,1016HM,4,168
396,1400.0,Absolute Housing,1013SZ,2,41
397,2900.0,Jimble,1077JP,3,134
398,1850.0,The Rental Agency Amsterdam,1016AK,3,67
399,1850.0,The Rental Agency Amsterdam,1016AK,3,67
400,2500.0,Van Huis Uit Makelaars,1012XK,3,112
401,1695.0,Relocation-Amsterdam,1032GG,3,75
402,1350.0,Relocation-Amsterdam,1094AW,2,45
403,1650.0,City Homes,1073AA,3,66
404,1350.0,People On The Move Expat Rentals,1068GH,4,105
405,1975.0,Amstel Makelaardij o.g.,1083JN,4,100
406,2600.0,Van Baerle makelaars,1071ED,3,104
407,2050.0,Inxxx Rentals,1018CG,2,75
408,1950.0,HousingNet,1018BT,3,90
409,1550.0,Your Home Makelaardij,1021HT,2,55
410,1750.0,PRO makelaars,1024VT,4,85
411,1600.0,27 Huis Makelaars,1017BA,2,50
412,1600.0,Domica Amsterdam,1104EA,3,69
413,1650.0,Amsterdamse Maatschappij,1075XS,3,61
414,1650.0,Amsterdam Housing,1079WZ,3,55
415,2350.0,Amsterdam Beautiful Property Rental,1073ED,3,80
416,1350.0,Hevesta Bemiddeling,1055MR,1,37
417,2750.0,Out Amsterdam,1078JP,4,129
418,2195.0,Voogd Makelaardij,1071AS,3,83
419,1850.0,Voogd Makelaardij,1058AG,3,60
420,1650.0,DSTRCT Amsterdam,1017AB,2,50
421,1475.0,DSTRCT Amsterdam,1017AB,2,51
422,2000.0,Dutch Housing Centre BV,1071PR,3,62
423,1650.0,JLG Real Estate,1018VW,3,60
424,1750.0,JLG Real Estate,1061XZ,3,89
425,1600.0,JLG Real Estate,1073CC,2,50
426,1800.0,Expat Rentals,1069GA,3,100
427,1600.0,Interhouse verhuurmakelaars Amsterdam,1078LK,3,96
428,1295.0,Expathousing.com (Amsterdam) ,1102VE,3,73
429,1295.0,Expathousing.com (Amsterdam) ,1068DA,2,55
430,1715.0,Grand Relocation,1079TX,4,101
431,1670.0,Grand Relocation,1058GD,3,87
432,1550.0,Grand Relocation,1052VN,3,50
433,1300.0,Grand Relocation,1022LA,3,85
434,1715.0,Grand Relocation,1079TX,3,101
435,1500.0,Koops Makelaardij Amsterdam,1059BL,3,62
436,1295.0,Koops Makelaardij Amsterdam,1054WP,2,24
437,1595.0,People On The Move Expat Rentals,1082EM,4,85
438,1650.0,EarthRock Housing,1082CW,3,65
439,1750.0,Relocation Advisers B.V.,1071XA,3,57
440,1400.0,Reallo,1053HL,2,45
441,1650.0,Relocation-Amsterdam,1054CC,3,60
442,1595.0,Grand Apartments Amsterdam,1091EH,2,85
443,1500.0,SPiL makelaars,1053LW,2,43
444,1450.0,YP Housing,1056HL,2,50
445,1550.0,Homecrew,1061SE,3,94
446,1200.0,Homecrew,1082JJ,2,34
447,1850.0,020 Beheer,1069RT,3,81
448,1350.0,Hevesta Bemiddeling,1055MR,1,37
449,1250.0,Hevesta Bemiddeling,1055MR,1,35
450,1750.0,Reallo,1076CW,3,60
451,1850.0,Housing Experts,1018DE,2,90
452,1600.0,020 Beheer,1067JS,3,80
453,1400.0,Hoofdstad Makelaars,1107EA,3,73
454,1325.0,Amsterdam Wonen,1012SE,2,35
455,1795.0,Dokter Makelaardij,1012KT,3,72
456,1750.0,Peter Bruin Makelaardij,1012WZ,2,70
457,2200.0,Peter Bruin Makelaardij,1054BB,3,60
458,1500.0,Partner in real estate,1079SK,2,40
459,2250.0,Hoen Vastgoedbeheer ,1092GH,3,77
460,2350.0,Hoen Vastgoedbeheer ,1092GH,3,70
461,1600.0,HVJ Groep,1055NJ,2,62
462,2850.0,Amsterdam Sotheby's International Realty,1016CB,3,136
463,1350.0,Makelaars Anno Nu,1016GA,2,50
464,1000.0,Wooove B.V.,1061MB,3,50
465,1395.0,Wooove B.V.,1062KS,2,64
466,1895.0,LIV Residential,1083CM,4,127
467,1447.0,LIV Residential,1069RR,3,86
468,1375.0,MA Residences,1072BR,2,45
469,1650.0,MA Residences,1075TK,2,45
470,2750.0,MA Residences,1054EV,3,110
471,1500.0,Vastgoed Unie Makelaardij ,1016TP,2,45
472,2500.0,Oei Housing Amsterdam - Expat Apartments,1016CA,3,110
473,2995.0,Jimble,1083HG,3,164
474,3200.0,Jimble,1017TE,2,79
475,3100.0,Jimble,1017TE,2,73
476,3200.0,Jimble,1017TE,2,82
477,1650.0,City Homes,1064DE,4,130
478,1900.0,MakelaarsOffice,1051JE,3,82
479,1050.0,HousingNet,1079EM,2,25
480,2750.0,Out Amsterdam,1078JP,4,129
481,1350.0,Hevesta Bemiddeling,1055MR,1,37
482,1550.0,Your Home Makelaardij,1055JE,3,85
483,2580.0,Eefje Voogd Makelaardij,1082MK,4,120
484,2591.0,Eefje Voogd Makelaardij,1082MK,4,120
485,1750.0,Amsterdam Housing,1016HK,2,85
486,1750.0,Amsterdam Housing,1072CM,3,50
487,2100.0,Amsterdam Housing,1082GM,3,99
488,1650.0,Amsterdam Housing,1094GE,2,60
489,1950.0,Amsterdam Housing,1073VN,3,140
490,2000.0,Amsterdam Housing,1011NK,3,75
491,1600.0,HB Housing ,1056TA,3,100
492,1000.0,HB Housing ,1033PE,2,47
493,1500.0,Hoen Makelaars B.V.,1075VL,2,45
494,3450.0,A1 Executive Estate,1073TK,4,150
495,1475.0,Dutch Housing Centre BV,1072JT,2,50
496,2300.0,Parker & Williams Real Estate Services,1095MA,4,100
497,1575.0,TVN Real Estate,1052CG,2,70
498,1630.0,Grand Relocation,1056RC,4,55
499,950.0,SPiL makelaars,1060RX,1,32
